Date,Close
2023-01-11,131.38
2023-01-12,131.3
2023-01-13,132.63
2023-01-17,133.79
2023-01-18,133.08
2023-01-19,133.14
2023-01-20,135.69
2023-01-23,138.88
2023-01-24,140.28
2023-01-25,139.62
2023-01-26,141.69
2023-01-27,143.63
2023-01-30,140.74
2023-01-31,142.01
2023-02-01,143.13
2023-02-02,148.44
2023-02-03,152.06
2023-02-06,149.34
2023-02-07,152.21
2023-02-08,149.52
2023-02-09,148.49
2023-02-10,148.85
2023-02-13,151.65
2023-02-14,151.01
2023-02-15,153.11
2023-02-16,151.51
2023-02-17,150.37
2023-02-21,146.36
2023-02-22,146.78
2023-02-23,147.27
2023-02-24,144.61
2023-02-27,145.81
2023-02-28,145.3
2023-03-01,143.23
2023-03-02,143.83
2023-03-03,148.87
2023-03-06,151.63
2023-03-07,149.44
2023-03-08,150.69
2023-03-09,148.44
2023-03-10,146.38
2023-03-13,148.32
2023-03-14,150.41
2023-03-15,150.81
2023-03-16,153.62
2023-03-17,152.79
2023-03-20,155.15
2023-03-21,157.01
2023-03-22,155.58
2023-03-23,156.66
2023-03-24,157.96
2023-03-27,156.02
2023-03-28,155.4
2023-03-29,158.47
2023-03-30,160.04
2023-03-31,162.55
2023-04-03,163.8
2023-04-04,163.26
2023-04-05,161.42
2023-04-06,162.31
2023-04-10,159.72
2023-04-11,158.5
2023-04-12,157.81
2023-04-13,163.2
2023-04-14,162.85
2023-04-17,162.87
2023-04-18,164.09
2023-04-19,165.24
2023-04-20,164.27
2023-04-21,162.66
2023-04-24,162.97
2023-04-25,161.43
2023-04-26,161.42
2023-04-27,166.01
2023-04-28,167.26
2023-05-01,167.17
2023-05-02,166.13
2023-05-03,165.06
2023-05-04,163.42
2023-05-05,171.09
2023-05-08,171.02
2023-05-09,169.32
2023-05-10,171.08
2023-05-11,171.27
2023-05-12,170.34
2023-05-15,169.85
2023-05-16,169.85
2023-05-17,170.46
2023-05-18,172.79
2023-05-19,172.9
2023-05-22,171.95
2023-05-23,169.34
2023-05-24,169.62
2023-05-25,170.76
2023-05-26,173.16
2023-05-30,175.01
2023-05-31,174.96
2023-06-01,177.76
2023-06-02,178.61
2023-06-05,177.26
2023-06-06,176.9
2023-06-07,175.52
2023-06-08,178.24
2023-06-09,178.62
2023-06-12,181.42
2023-06-13,180.94
2023-06-14,181.57
2023-06-15,183.61
2023-06-16,182.53
2023-06-20,182.62
2023-06-21,181.58
2023-06-22,184.58
2023-06-23,184.27
2023-06-26,182.88
2023-06-27,185.63
2023-06-28,186.81
2023-06-29,187.14
2023-06-30,191.46
2023-07-03,189.97
2023-07-05,188.86
2023-07-06,189.33
2023-07-07,188.22
2023-07-10,186.17
2023-07-11,185.65
2023-07-12,187.32
2023-07-13,188.08
2023-07-14,188.23
2023-07-17,191.48
2023-07-18,191.23
2023-07-19,192.58
2023-07-20,190.64
2023-07-21,189.46
