Date,Close
2023-03-30,277.48
2023-03-31,281.63
2023-04-03,280.59
2023-04-04,280.54
2023-04-05,277.76
2023-04-06,284.85
2023-04-10,282.7
2023-04-11,276.29
2023-04-12,276.93
2023-04-13,283.13
2023-04-14,279.52
2023-04-17,282.12
2023-04-18,281.7
2023-04-19,281.78
2023-04-20,279.49
2023-04-21,279.15
2023-04-24,275.25
2023-04-25,269.05
2023-04-26,288.54
2023-04-27,297.78
2023-04-28,300.15
2023-05-01,298.49
2023-05-02,298.34
2023-05-03,297.36
2023-05-04,298.34
2023-05-05,303.46
2023-05-08,301.51
2023-05-09,299.9
2023-05-10,305.09
2023-05-11,302.94
2023-05-12,301.82
2023-05-15,302.3
2023-05-16,304.53
2023-05-17,307.41
2023-05-18,311.83
2023-05-19,311.66
2023-05-22,314.44
2023-05-23,308.64
2023-05-24,307.26
2023-05-25,319.08
2023-05-26,325.9
2023-05-30,324.26
2023-05-31,321.49
2023-06-01,325.6
2023-06-02,328.36
2023-06-05,328.89
2023-06-06,326.67
2023-06-07,316.59
2023-06-08,318.43
2023-06-09,319.93
2023-06-12,324.88
2023-06-13,327.27
2023-06-14,330.26
2023-06-15,340.79
2023-06-16,335.14
2023-06-20,330.95
2023-06-21,326.56
2023-06-22,332.58
2023-06-23,327.99
2023-06-26,321.7
2023-06-27,327.54
2023-06-28,328.8
2023-06-29,328.01
2023-06-30,333.39
2023-07-03,330.89
2023-07-05,331.05
2023-07-06,334.1
2023-07-07,330.14
2023-07-10,324.86
2023-07-11,325.49
2023-07-12,330.12
2023-07-13,335.46
2023-07-14,337.99
2023-07-17,338.47
2023-07-18,351.94
2023-07-19,347.62
2023-07-20,339.59
2023-07-21,336.55
2023-07-24,337.86
2023-07-25,343.61
2023-07-26,330.68
2023-07-27,323.78
2023-07-28,331.26
2023-07-31,328.87
2023-08-01,329.28
2023-08-02,320.62
2023-08-03,319.8
2023-08-04,320.9
2023-08-07,323.18
2023-08-08,319.2
2023-08-09,315.46
2023-08-10,316.15
2023-08-11,314.27
2023-08-14,317.24
2023-08-15,315.1
2023-08-16,314.34
2023-08-17,310.88
2023-08-18,310.49
2023-08-21,315.79
2023-08-22,316.36
2023-08-23,320.81
2023-08-24,313.91
2023-08-25,316.87
2023-08-28,317.57
2023-08-29,322.19
2023-08-30,322.57
2023-08-31,321.56
2023-09-01,322.44
2023-09-05,327.24
2023-09-06,326.58
2023-09-07,323.67
2023-09-08,327.94
2023-09-11,331.54
2023-09-12,325.49
2023-09-13,329.7
2023-09-14,332.29
2023-09-15,323.97
2023-09-18,322.83
2023-09-19,322.43
2023-09-20,314.7
2023-09-21,313.48
2023-09-22,311.01
2023-09-25,311.53
2023-09-26,306.23
2023-09-27,306.87
2023-09-28,307.7
2023-09-29,309.77
2023-10-02,315.71
2023-10-03,307.46
2023-10-04,312.92
2023-10-05,313.32
2023-10-06,321.07
2023-10-09,323.58
2023-10-10,322.17
2023-10-11,326.13
2023-10-12,324.89
2023-10-13,321.53
2023-10-16,326.34
2023-10-17,325.78
2023-10-18,323.86
2023-10-19,325.05
2023-10-20,320.49
2023-10-23,323.09
2023-10-24,324.27
2023-10-25,334.22
2023-10-26,321.68
2023-10-27,323.57
2023-10-30,330.93
2023-10-31,331.71
2023-11-01,339.52
2023-11-02,341.73
2023-11-03,346.12
2023-11-06,349.78
2023-11-07,353.71
2023-11-08,356.33
2023-11-09,353.86
2023-11-10,362.67
2023-11-13,359.74
2023-11-14,363.26
2023-11-15,363.41
2023-11-16,369.8
2023-11-17,363.59
2023-11-20,371.05
2023-11-21,366.75
2023-11-22,371.45
2023-11-24,371.04
2023-11-27,372.2
2023-11-28,376.22
